CommType,ID,ReceiveTime,SourceID,MsgId,PosTime,Lon,Lat,Cog,Sog,TrueHeading,NavigationStatus,ROT,PosAccuracy,A,B,C,D,E,F,G,H
1,412366350,2022-01-15 00:00:03,9,1,2022-01-15 00:00:02,73663301,22362511,1821.0,106.0,180.0,0.0,0.0,0,2,0,0.0,,,,,
1,413904222,2022-01-15 00:00:03,9,18,2022-01-15 00:00:02,67493456,13825962,2431.0,60.0,243.0,,,0,2,1,1.0,1.0,1.0,0.0,393222.0,
1,477995299,2022-01-15 00:00:03,9,1,2022-01-15 00:00:03,68446858,13365351,2576.0,1.0,,15.0,,1,60,0,1.0,,,,,
1,413774698,2022-01-15 00:00:03,9,18,2022-01-15 00:00:01,69364377,17903942,2688.0,44.0,,,,0,1,1,1.0,0.0,0.0,0.0,393222.0,
1,477995870,2022-01-15 00:00:03,9,1,2022-01-15 00:00:03,68475086,13399342,3442.0,2.0,,15.0,,0,60,0,1.0,,,,,
1,413801399,2022-01-15 00:00:03,9,1,2022-01-15 00:00:03,68672729,18403727,0.0,0.0,0.0,0.0,0.0,1,60,0,0.0,,,,,
1,563100800,2022-01-15 00:00:03,7,3,2022-01-15 00:00:00,62486846,787209,3178.0,25.0,7.0,0.0,25.0,0,0,0,0.0,,,,,
1,477858700,2022-01-15 00:00:03,7,1,2022-01-14 23:59:59,14715503,21843716,3037.0,113.0,303.0,0.0,-4.0,1,59,0,0.0,,,,,
1,215170000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,15205268,23401634,305.0,156.0,30.0,0.0,-4.0,1,1,0,0.0,,,,,
1,538005842,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,14331099,22221360,1807.0,7.0,254.0,0.0,1.0,0,1,0,0.0,,,,,
1,244660004,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,3433434,31807203,47.0,63.0,,0.0,,1,1,0,1.0,,,,,
1,413492850,2022-01-15 00:00:03,7,1,2022-01-14 23:59:33,61151018,1311208,1280.0,142.0,129.0,0.0,0.0,0,33,0,0.0,,,,,
1,265585310,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,11154613,35725281,2615.0,0.0,138.0,0.0,0.0,0,2,0,0.0,,,,,
1,351758000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,2440870,30824072,2854.0,112.0,285.0,0.0,7.0,1,0,0,0.0,,,,,
1,255805881,2022-01-15 00:00:03,7,3,2022-01-15 00:00:02,7240438,33775404,1526.0,128.0,153.0,0.0,0.0,1,2,0,1.0,,,,,
1,310370000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,-8159160,18366720,445.0,161.0,45.0,0.0,0.0,1,0,0,0.0,,,,,
1,413888988,2022-01-15 00:00:03,9,19,2022-01-15 00:00:03,67091504,12950573,1297.0,0.0,93.0,,,1,60,0,0.0,0.0,,,,
1,563142100,2022-01-15 00:00:03,9,1,2022-01-15 00:00:01,72980910,21394710,3080.0,199.0,307.0,0.0,0.0,1,1,0,0.0,,,,,
1,413263280,2022-01-15 00:00:03,9,1,2022-01-15 00:00:03,72336684,23171315,932.0,120.0,92.0,0.0,5.0,0,3,0,0.0,,,,,
1,236342000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,-3979900,33880400,2190.0,103.0,217.0,0.0,0.0,0,0,0,1.0,,,,,
1,636020974,2022-01-15 00:00:03,7,3,2022-01-14 23:59:43,-47962560,5665570,3500.0,0.0,24.0,1.0,0.0,0,43,0,0.0,,,,,
1,538006410,2022-01-15 00:00:03,7,3,2022-01-15 00:00:02,90964971,-14330465,957.0,2.0,11.0,1.0,-7.0,1,60,0,0.0,,,,,
1,525008024,2022-01-15 00:00:03,7,3,2022-01-14 23:59:51,70094554,-785640,2136.0,0.0,53.0,1.0,0.0,0,51,0,1.0,,,,,
1,235111639,2022-01-15 00:00:03,7,1,2022-01-15 00:00:02,-56705901,17562672,872.0,14.0,106.0,0.0,10.0,0,3,0,0.0,,,,,
1,257361400,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,3187828,36230643,0.0,0.0,128.0,0.0,0.0,0,1,0,0.0,,,,,
1,247383300,2022-01-15 00:00:03,7,1,2022-01-14 23:59:58,2104767,25126121,2449.0,198.0,246.0,0.0,6.0,0,58,0,0.0,,,,,
